Offset    00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F
00000000: 00 00 40 51 00 00 49 05 F8 FF 3F 65 01 00 20 08
00000010: 00 00 6A 04 FC FF 7F 64 00 00 60 64 00 00 61 10
00000020: 02 00 20 08 00 00 6A 04 FC FF 7F 64 04 00 60 64
00000030: 00 00 61 10 00 00 AA 04 FC FF BF 64 03 00 C0 08
00000040: 04 00 E0 08 1C 00 00 6C 00 00 AA 04 FC FF BF 64
00000050: BC 00 00 6C 08 00 20 65 00 00 40 55 00 00 00 FC
00000060: 00 00 40 51 00 00 49 05 F4 FF 3F 65 00 00 6A 04
00000070: FC FF 7F 64 00 00 65 10 00 00 6A 04 F8 FF 7F 64
00000080: 00 00 66 10 00 00 6A 04 F4 FF 7F 64 00 00 67 10
00000090: 00 00 6A 04 FC FF 7F 64 00 00 63 0C 00 00 60 64
000000A0: 00 00 43 0C 00 00 6A 04 F8 FF 7F 64 00 00 23 0C
000000B0: 00 00 22 14 00 00 6A 04 FC FF 7F 64 00 00 63 0C
000000C0: 00 00 60 64 00 00 61 10 00 00 6A 04 FC FF 7F 64
000000D0: 00 00 63 0C 04 00 60 64 00 00 43 0C 00 00 6A 04
000000E0: F4 FF 7F 64 00 00 23 0C 00 00 22 14 00 00 6A 04
000000F0: FC FF 7F 64 00 00 63 0C 04 00 60 64 00 00 61 10
00000100: 0C 00 20 65 00 00 40 55 00 00 0C 05 00 00 40 51
00000110: 00 00 49 05 FC FF 3F 65 00 00 6A 04 FC FF 7F 64
00000120: 00 00 65 10 00 00 6A 04 FC FF 7F 64 00 00 63 0C
00000130: 00 00 60 64 00 00 43 0C 00 00 6A 04 FC FF 7F 64
00000140: 00 00 63 0C 04 00 60 64 00 00 23 0C 00 00 22 14
00000150: 04 00 20 65 00 00 40 55 00 00 0C 05 
